case	baseline_fingerprint	candidate_fingerprint	reason
shape	6ea4aec9fd1d77d9b3e5806b327cfc95	bbcff8d80903c2a06f75a02757e8e8e5	ParamSet$data has identical public columns, values, row names, class, and a valid data.table self-reference; the native facade builder installs names and self-reference attributes in a different order than upstream.
domain_construction	913741f4442cae0786028c5c078a0658	7a4b83ff89725c0c2b11dac8e802d26c	Built-in Domain fields, callbacks, and informative checkmate-style logical default/init diagnostics agree, while Paradox 2 constructs valid data.table Domain facades with explicit row names/self-reference and retains native structural diagnostics for invalid tags and special-plus-trafo.
stored_callback_srcrefs	535cbe91e965ff39469d3cb83d539179	a35978c6f8bbcc993ab1792a2f64b2b2	Paradox 2 recursively discards source-reference metadata from admitted custom checks, transformations, constraints, and printable Domain representations while preserving callback results; function-valued parameter values remain opaque and retain their source references.
representation_inputs	2d1a6f460f76fe17db406cc443f1fca7	73b0dd02d2530e42f8565acacf6f11a2	Scalar Domain argument names are discarded; classed value assignment/check succeeds with the class discarded and plain trafo is unchanged, while the same S3-classed trafo shell is intentionally rejected instead of dispatched. That rejection now names the current .__paradox2_ParamSet__trafo call; the unversioned target is only a cold legacy-object migration gateway.
closed_extension_boundary	8f22a98c3014b41e8d3e6741b6b8022c	93a11e6f50fc7b83f5be5e5a80fb82b3	The five built-in Domains, two built-in Conditions, and ParamUty callback escape hatch agree, while unknown Domain and Condition subclasses are rejected at their native admission boundaries instead of selecting S3 extension behavior. The custom-Condition rejection now names the current .__paradox2_ParamSet__add_dep call; the unversioned target is only a cold legacy-object migration gateway.
domain_lazy_arguments	a8de5cfae4eafb463954f466bbd83cda	a129a9e66d468f94a5508766fb73ce75	The registered constructor observes documented default/init arguments once before final-state validation and does not preserve upstream checkmate's early-error promise-forcing priority; the resulting native invalid-tag diagnostic also differs.
ids_filter_edges	7d110b356d2ab009d6ffe6713f201e38	785e645a11a9ee7716625070b2d7b0e2	Empty tag filters now return typed character(0), and overlapping any-tag matches are deduplicated in original parameter order instead of repeating the first match.
subset_cartesian	dfa7a61957ed96c71639d2fb2fd4989e	225c0ae3b0f57969598e1b030d4cef8b	Duplicate subset IDs keep Paradox 2's deterministic public validation message instead of leaking data.table's Cartesian-join-limit error; only the normalized call moved from the unversioned cold legacy-object migration gateway to the current .__paradox2_ParamSet__subset target, and the additive keep_trafo argument remains visible.
validation	1e7716f5ed3703aceda11be43cb88966	9d1dbf2dce63d44a692eca9b8dc6d3e3	Validation results and informative native bounds, type, table, and sanitized-integer diagnostics mostly agree with Paradox 1; omitting its fuzzy suggestion suffix from unknown-ID diagnostics remains intentional.
grouped_sanitization	80b9b410f24767e11620953861afc5b9	6343d2d79a7a1972de229a1bfe494361	Grouped numeric sanitization uses each parameter's own bounds and no longer emits upstream vector-recycling warnings.
infinite_bounds	2c202d55e8d9fee39383f921829404e4	87fc8659048096e64f7deb45e629cd0b	One-sided and fixed infinite double Domains now validate their represented endpoints and invalid values without missing-value errors, and quantile mapping preserves defined finite/infinite endpoints instead of accidental NaN results.
boundary_matrix	f5c3495c8a235a501f4a2c39a952909e	cfd5b94eee4bf2f1cf21021a7f6f1a7f	Special-value and valid-input acceptance agrees, and empty settings intentionally honor presence='all'; the native failure-only formatter now restores informative distinctions for bounds, missingness, length, integerishness, factor membership, and logical type across the twelve invalid cases.
dependencies	76d73c11dee77b77fbb63a7bffc367a4	d2dcbe14c32136d233d7d8dc2de44e65	Closed native Condition formatting quotes character RHS and observed values unambiguously in dependency diagnostics; construction, activation, masking, and valid checks agree.
dormant_assignment	f0f93e459f6c45aae6982cb90518e97a	338688d8d84ea7306b0b5eb875b5fdff	Checked assignment now accepts and retains the Domain-valid child while its gate is false; raw values include the dormant child and the default active-value view omits it, instead of rejecting the complete assignment.
default_aware_check	33cced4a433a180add3664318e80cd29	ccba4692bd37b66038061a7e73c78062	Point check, test, assert, table check, and dependency-only check now use the satisfying recorded parent default when the parent is absent, so the child point succeeds instead of reporting an unsatisfied dependency.
default_active_presence	0c9e6ec2e1ac5fc3e7779f02574976f2	956c34a18a340084eedf7866fd4bd234	Required presence now treats the child as active when its absent parent has a satisfying default and therefore demands the missing child; explicit-active and default-inactive controls retain their results.
default_active_required_values	ef2f7a552f6aac5d39d65956d09a6caa	acf6262946f49f39e26354093b0bbbf9	Required-value reads apply default-aware activity before testing presence: the satisfying-default child remains required, while a child behind a false default is correctly exempt instead of being demanded by the upstream raw-store check; the active error's normalized call names the current Paradox-2 wrapper.
filtered_constraint_input	1733457642e42f88c04ee092561619de	1cff6c3445ff51b5a0dfcc63d9a961a0	Constraint execution remains once per request and returns the same result, but its callback now receives only the active gate entry rather than the dependency-inactive child.
dormant_store_point_check	5493ea381196563eea03d371ae86fb3a	550d087410fb714cff02bf332d060b14	A checked dormant assignment now succeeds, after which the raw stored point intentionally fails strict dependency checking while its filtered active view and a non-strict raw check pass; upstream rejects the assignment and therefore retains an empty strict-valid store.
values_and_serialization	86c729c466ddb314a781802cbbe1b514	d2a03082d75b3c04acda92355f241d8c	Value ordering, NULL unsetting, shallow/deep clone, serialization, and subset contents agree; only the detached subset data.table facade's valid names/self-reference attribute insertion order differs.
tune_token_search_space	7aaf34f267b827e3ffe38a06369e4f10	789c45354d8bfee8c5a4cefce72c64ee	Recovered TuneTokens produce the same unfixed search-space semantics, but exact native admission avoids upstream RNG-consuming plausibility work, so the subsequent seeded random design and final RNG state intentionally differ.
tune_token_closed_shape	30446c91a1ae2a0d4e639b5cfce0b7a3	ea328acb53286c40120a64c67b0ffec1	Package-built and serialized exact TuneTokens remain accepted; subclasses and extra root metadata are rejected, and native exact-shape admission avoids the upstream plausibility work that advanced RNG state. Both rejections now name the current .__paradox2_ParamSet__check call; the unversioned target is only a cold legacy-object migration gateway.
semantic_equality	2c528e08f1d69f6144366b4aeb805909	4c719d5ef23a393fd0ff4661cf465604	Equal/different truth agrees, while all.equal now reports differences from a detached semantic graph projection instead of recursively traversing R6 environments; cross-kind and wrong-type diagnostics are consequently deterministic and different.
presence	556c8b904dca6aaf0f0baf96fdd7b8b0	dd3786c741fde9b91363981cb2f27c56	Empty settings now honor presence='required' and presence='all' instead of being accepted by the upstream empty-input early return.
collection_callbacks	7e3ae58db36f286dadd536eb52185c03	97b7ef762c841143322f2ad3868205e8	Child transformations run once, child constraints receive unprefixed values on each requested operation, live constraints affect strict checks, and detached flatten callbacks remain callable; the outward data.table facade also has the reviewed attribute insertion order.
collection_detachment	5f468e73a6362e4b5afbad23d2cdf1f8	4658954cc7f1e358078db3a46e7c0bd7	A live collection now observes the child's replacement constraint, while subset and flatten snapshots correctly retain the callback state captured before child mutation.
paramset_shadow	250e1a14af842e8688994f3683478ff3	e95db5608ad7b64b0f25f9bfb2b7267e	Paradox 2 supplies the official ParamSetShadow live view; Paradox 1 has no such class and only the deliberately comparable detached reference projection.
designs	6f75ddd2fee960970107c45620f43b08	10b57ea58697b8eec64ad999f1d79d3d	Grid/random values and transposition agree; the native random-design data.table facade installs the same valid names, class, row names, and self-reference in a different attribute order.
check_dt_argument_laziness	c2cbba180876ee245bffb090302d8106	83b0c9c66c4987972bc45970a7146d37	The native table boundary observes optional arguments once in declared order even for zero-row/zero-column inputs instead of preserving upstream early-return skipping and checkmate forcing order; the forcing order and error remain unchanged from the reviewed Paradox 2 behavior, and only the normalized call now names the current .__paradox2_ParamSet__check_dt target rather than the unversioned cold legacy-object migration gateway.
diagnostics	f57fde87e091f12baf1e5e27beaf8093	82a4816e360f1b7b33d460841351066d	Native constructors and mutators retain informative checkmate-style diagnostics, including the restored Assertion on 'xs' failed: prefix, while dependency-only checking intentionally returns the first failure instead of newline-collapsing every failing edge. The duplicate-ID and invalid-dependency calls now name current .__paradox2_ParamSet__initialize and .__paradox2_ParamSet__add_dep targets; the unversioned names are only cold legacy-object migration gateways.
