repository	origin	upstream_commit	upstream_tree	upstream_commit_date	upstream_branch	bridge_commit	bridge_tree	bridge_commit_date	bridge_branch	rationale
bbotk	https://github.com/mlr-org/bbotk.git	74515a792243a0f62a95f8ba3452be6290278c8c	b8a9768f7b818c4a30e4d939430bdf6852309244	2026-07-28T11:25:36+02:00	main	09dafa6c3048f9be5b6961739787d201f6600a6f	453dd1ceecee23caa87beb0a9a38887d2e5e25a4	2026-08-01T17:45:55+02:00	codex/public-paramsetcollection-sets	Dual-version migration to public collection state, native ownership of detached search-space snapshots, a registered serialized Codomain upgrader, and an exact rush development floor for the compute-profile API used by this head.
celecx	https://github.com/mlr-org/celecx.git	8fc8a8dbaf15e72010b0e721a2167c5db9984810	8ebe21db93c87b2fc09bc06ec16f5cfe7ceb6a60	2026-07-08T00:41:01+02:00	master	5a094a391ae11a8ae23ce4abf98eaf63e36bb3f1	27fa93b65707e47d5efac1122b273d51fe1569df	2026-08-01T17:29:53+02:00	codex/paradox2-diagnostics	Explicit dependency on mlr3mbo >= 1.2.1.9000, the reviewed transform-free bridge development version and predecessor of the required >= 1.2.2 release; obsolete NULL writes to removed active bindings are retired and their tests assert the public prediction result.
miesmuschel	https://github.com/mlr-org/miesmuschel.git	7aaca22d2fc61d8d86291b681a8ecbde21f649c5	c6361a727ece37a96ff010d9a54b7e1ddce690c9	2025-03-19T17:33:36+00:00	master	3c4bf94788b9259878b1fa067d216823d0771681	262da211feb23b19df6b6d728e711c88b58fb47f	2026-08-01T17:29:58+02:00	codex/paradox-paramsetshadow-bridge	Dual-version official Shadow bridge with a registered serialized-object upgrader, semantic public-state comparisons, no dependency on Paradox private fields, narrowly allowlisted failure-safe rebinding of historical leanification targets, a public-contract dormant-value regression on both Paradox majors, and exact dual-major native diagnostic expectations.
mlr3	https://github.com/mlr-org/mlr3.git	f70c001d526213d80059744b81fcbc420bb83017	538ff0e41995c163efbe1090754c2158a641b6a8	2026-07-02T11:33:25+02:00	main	f70c001d526213d80059744b81fcbc420bb83017	538ff0e41995c163efbe1090754c2158a641b6a8	2026-07-02T11:33:25+02:00	main	No bridge remains necessary after Paradox restored precise native numeric-Domain diagnostics; the exact reviewed upstream head is retained.
mlr3fda	https://github.com/mlr-org/mlr3fda.git	8960c9292221e7065e5175762e12354c6eb08607	229ff13c89163f0cd67a562b125add3159e390da	2026-07-15T21:09:13+02:00	main	0df56f51b5d7fd751e16575fbd897b1c7f449c5e	f8190917d9c2cbaa84f7d65c7cc12dfcbf6a347b	2026-07-31T18:46:09+02:00	paradox2-snapshots	Keep the Paradox 2 snapshot overlay focused on the current versioned gateway call context while preserving the byte-identical Paradox 1 baseline and diagnostic body.
mlr3forecast	https://github.com/mlr-org/mlr3forecast.git	8e352550f2334e42c8c81ee80d3e237b807abebe	0fa79e3f9d650d14c6a48e7cf3022b1518934c30	2026-07-12T22:12:15+02:00	main	35e4bdc914a913508450866e629309f8364077ec	195e95a01bdc79e3027a8cd6685e5e3b18a4733a	2026-08-01T23:34:47+02:00	paradox2-snapshots-20260801	Version-gate the three Paradox 2 validation call headers while preserving the Paradox 1 snapshot bytes and diagnostic bodies exactly.
mlr3fselect	https://github.com/mlr-org/mlr3fselect.git	cd12d7717f31701edc6ebcf7f2cbe1168cae1ecb	05640b24600ad810c774069937237d4da10b7caf	2026-07-02T11:40:59+02:00	main	cd12d7717f31701edc6ebcf7f2cbe1168cae1ecb	05640b24600ad810c774069937237d4da10b7caf	2026-07-02T11:40:59+02:00	main	No bridge remains necessary after Paradox restored the precise native feature-fraction diagnostic; the exact reviewed upstream head is retained.
mlr3mbo	https://github.com/mlr-org/mlr3mbo.git	4471f6fc4a8aa217fffb6ce5a45d3e525e96dc44	06d8b114985ddb2208ff5823b1b8d10b9fb105a6	2026-07-27T11:26:46+02:00	main	85dd8a5ada86aacafe93637711e3b1f2e91ba219	d778a89f42e8502a8ac6df2c28c4e5881a3f048e	2026-07-31T18:45:35+02:00	codex/paradox2-transformless-subset	Dual-version public transform-free subset migration rebased onto the reviewed current main head, with the obsolete set_id-era branch removed and the current release context documented.
mlr3pipelines	https://github.com/mlr-org/mlr3pipelines.git	bef040ae5c886bf5b09863b956d341eb3cbd772c	5cf9eee911666d620c6f502d853b5d28f15fe69b	2026-07-21T18:10:55+02:00	master	a7954067061f20a45dd9e6c03129dca0ba0f1753	2ca55ef24142fd9173f3e5816a0de8b7edc53a54	2026-08-01T17:37:41+02:00	codex/paradox-diagnostic-compat-current	Fix GraphLearner state deep-clone ownership with an explicit mutation-isolation regression, document dormant spline values through a dual-version contract test, and inflate the symmetric dictionary comparison object so both Paradox majors observe the public shell.
mlr3tuning	https://github.com/mlr-org/mlr3tuning.git	5ac566dc53480e2fd3fa0497f70f2cb038412863	1962310ab425c77adbb5136c83d34105f1e03649	2026-07-28T17:08:29+02:00	main	0ec4f40033a393d41c7842541c2d5f8173dfb6bd	587186e4add24c85ee84c1fe335a733e056b3c12	2026-07-31T18:44:02+02:00	codex/paradox2-dormant-values-current	Test-only dual-version adaptation that preserves strict store-blind point checks and records the changed Paradox-2 TuneToken-child dormant-value contract.
