repository	origin	commit	tree	commit_date	archived	clean_status	source_archive_sha256	source_type	scoped_files	scope_receipt_sha256	paradox_lines	api_lines	all_text_paradox_lines	all_text_api_lines	use_class	review_decision	evidence	rationale
.github	https://github.com/mlr-org/.github.git	0b0474b55063a2078a1a4ff506ab56395a337383	be0e9e1d63c77f70647dbfd0c710f2702cb7944c	2024-01-22T13:21:29+01:00	false	clean	c6e9f00955dd232fa4c56942cbe98336942177b647974830a6c54324ac5f80d9	org-scan	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	0	0	0	infrastructure	exclude-infrastructure	-	Organization profile metadata only; no R or documentation scan target.
batchtools	https://github.com/mlr-org/batchtools.git	ee7080fc31de21a88cf6d9bba61dbb51857d09c9	77d3b634bb29a4f8a5e447b59dc85a890d3ceda3	2025-11-26T11:15:51+01:00	false	clean	da0ee0723b3b5cca7c40963907a4f846bd3a8945dcbe2e2faac7c5c98537b4f3	org-scan	134	cb9e56e8e7c49b92c04e537e4bc07dacb8a2c31408b56b90854eefad1016dcac	0	4	0	0	no-use	exclude-no-use	R/estimateRuntimes.R:128	No paradox dependency or API use; matched ps() calls are batchtools formatting helpers.
bbotk	https://github.com/mlr-org/bbotk.git	905901b45d4dd9445efc0ffa49e663ab5ae534cb	61932a4c5f732b97ef8ac159c5cfdfb2ee523461	2026-07-02T17:46:14+02:00	false	clean	e685c8e1b7432f20d1abf3ec35342e3e51378fa4f871e628d6b49e120e6e5d34	consumer-corpus	182	bc37f3922f075c7db639ad7e23ade60171bff45c15b2927027d5a4644bf4f6c9	197	1303	324	1504	direct-package	retain-gate-p0	DESCRIPTION:16	ParamSet subclass and private ParamSetCollection child access.
binder	https://github.com/mlr-org/binder.git	b2bf4d47def67067098373549b4861dcbce18625	58660295089906ee4d1d2a1d5ea18808aa8cff50	2021-03-22T17:55:41+01:00	false	clean	ff2316e8b625f9c0644ac817d4d0b8aac0de4d2a9c11425da8d53d4baf6b3e8f	org-scan	2	a82de24b6d6134fa0192db8d60e9f145fe274be3860e35aa8f07544da1f1731d	0	31	0	93	de-facto-documentation	characterization-only	posts/2021-03-09-tune-a-support-vector-machine/tune-a-support-vector-machine.Rmd:80	A frozen 2021 tuning article exercises to_tune(), p_dbl(), dependency conditions and design generation, but is not an executable maintained package gate.
celecx	https://github.com/mlr-org/celecx.git	8fc8a8dbaf15e72010b0e721a2167c5db9984810	8ebe21db93c87b2fc09bc06ec16f5cfe7ceb6a60	2026-07-08T00:41:01+02:00	false	clean	69f6067fde95ec7defceada6d975f235674e88d335ba700f5bcb06b6545ba782	consumer-corpus	143	e7ba9fc177762a815aad223416ea7ab733768e06495477a5873ce662b6e621ad	95	2341	152	2378	direct-package	retain-gate-p1	DESCRIPTION:30	Active GitHub-only consumer.
dictionar6	https://github.com/mlr-org/dictionar6.git	8c550ba46825c894c62b81f92e3e2d62c79cc7f2	4dd0c03412de462bfc4425f8024e0d5a96ea2d95	2026-02-23T13:42:24+01:00	false	clean	d1b795ada8b4e49b46e4ef28204b2e5e050d5004270aeaf1ee3d78bac695fce2	org-scan	14	bedf0d7e9f329c354fd3946906b2bf5f42e6e95e42b3827489b2c0369400dc2a	0	0	0	0	no-use	exclude-no-use	-	No paradox dependency, mention, or API-shaped use in the reviewed scope.
distr6	https://github.com/mlr-org/distr6.git	52ec317e549c234361eee139ca2e5aefd283690d	552cf8acd53095e96de94812543c50c0754566c8	2026-02-23T13:44:03+01:00	false	clean	e5a639511c625af5124270db24b6692f24b784cf01affee259c490eeeedeb8f0	org-scan	284	03d6743107b24b59438c466dc12682bf9549b7bade17c781fbab3214a2f1cf57	0	2	0	4	no-use	exclude-no-use	R/SDistribution_Uniform.R:208	No paradox use; qunif matches are base distribution calls.
docker	https://github.com/mlr-org/docker.git	-	-	-	false	empty-no-head	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	org-scan	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	0	0	0	empty	exclude-empty	-	GitHub repository is empty and has no HEAD, tree, or source files.
farff	https://github.com/mlr-org/farff.git	3c86a6415f6e4d1599bce9eb6d1f7607bdee7dee	0ca19e39ac95d6c925c151611d06a2dc20f3e7d9	2021-05-10T22:43:59+02:00	false	clean	27230ad1e78ccf20432e16777c7a8e7ae035494bd0bf3687343e3c94ae9f268c	org-scan	18	790fb74fa6d3c1b14f4fb7a71d8b89e8b1c45849b08997dc0940094af4c9a632	0	0	0	0	no-use	exclude-no-use	-	No paradox dependency, mention, or API-shaped use in the reviewed scope.
libcmaesr	https://github.com/mlr-org/libcmaesr.git	8646eb0102333ba3ff9bd63b2dece42285324577	26001ac632e572d218d114e3c41c17f52860bbfa	2025-09-30T17:01:25+02:00	false	clean	012c2a635cfeeb093b76c03bb82bd644c54b39932c946d375ac820aacfec6d6f	org-scan	14	8f7198a442713db12db67ec624a53699e96f9790d4d558617e6a6a266b9d58f6	0	0	0	0	no-use	exclude-no-use	-	No paradox dependency, mention, or API-shaped use in the reviewed scope.
mbo_config	https://github.com/mlr-org/mbo_config.git	c8562d6cb74c44d33bfc321ed99dc35d045e3fa0	fa4fd62ddf1d8c0dc60fdece70d798c9f7c1515e	2026-04-29T12:56:14+02:00	false	clean	8ae3b88b98ee322f66056f70956c988a0c20734883a25feeb2a815864a4e250b	consumer-corpus	32	49b434b43cae74b1769964f5b1bb6485ecf350f418eae3eb3bd22a2c3e31b402	23	306	23	339	direct-workload	retain-gate-p1	common/mixed_objective.R:1	Realistic optimization configurations and benchmarks.
mcboost	https://github.com/mlr-org/mcboost.git	651e24d9578538f695c572a96d4f6593be670860	72f7793f320ac08c210aade66ac164474e70b8e8	2025-07-24T10:20:17+02:00	false	clean	d9a390f3fb6280836e3f1157f4e90d01df91775f325b2035ddfe86bb028cbc39	consumer-corpus	42	f76870e3a106730cb7950143a5cb6d15822e3f4fbdfbe1e67ba11905752da3f9	29	50	36	51	direct-package	retain-advisory-p2	DESCRIPTION:65	Optional consumer.
medium	https://github.com/mlr-org/medium.git	77d6ec64124d970cda9e5593549808f5b7463b09	3255413ede89e03a943cc0301a6f240136a81e3f	2021-04-20T15:49:57+02:00	false	clean	cf9be482dbee2c39e004d648f8e8695aaacc26b624aa42791756d26b2800c435	org-scan	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	0	0	0	infrastructure	exclude-infrastructure	-	Non-code repository with no reviewed scan target or paradox content.
miesmuschel	https://github.com/mlr-org/miesmuschel.git	7aaca22d2fc61d8d86291b681a8ecbde21f649c5	c6361a727ece37a96ff010d9a54b7e1ddce690c9	2025-03-19T17:33:36Z	false	clean	a5873c49825742839fbe0aa19706d45bb29b4e04751103e74cabebb7232ca26a	consumer-corpus	208	60aca20cab0a2d7af92c19f707061580c9fec0fa143ca12da79c871d741c53f0	224	2177	464	2603	direct-package	retain-gate-p0	DESCRIPTION:24	ParamSet subclass and extensive private-layout compatibility code.
mlr	https://github.com/mlr-org/mlr.git	6a48aaf4e0bed23a9e7b9586d5f39174379cd6c7	be12e1debdcc8056443a0f3eb61e6fadd2f625be	2025-08-22T21:47:34+02:00	false	clean	6a5fd8f332c63b6c671fdcf267a4c6f3abd61469be755e18f7090dfc041502ca	org-scan	915	c1edcc4da61c6387af3c63037b4bdc47ff9469e30064b15f2b59b866fee64678	0	530	0	662	historical-predecessor	exclude-predecessor	DESCRIPTION:8	Legacy mlr uses ParamHelpers; ParamSet-shaped names are not paradox objects.
mlr-extralearner	https://github.com/mlr-org/mlr-extralearner.git	75432ea7100a82382a1b5245acb2199fbe053e0c	3da214616b3d9fd6c5983994dea4e7326d1cc2d7	2019-03-27T09:00:51-06:00	false	clean	165c5cd1251284d36662515f4c9104c574b08cb85f5a426dc732d018eb6861cb	org-scan	29	663ba0f20c40a85ce4c1ce4237f338908dbbd0259867916fc8c0797f2bee855d	0	18	0	18	historical-predecessor	exclude-predecessor	R/RLearner_classif_RcppHNSW.R:6	Legacy mlr learner repository uses ParamHelpers makeParamSet(), not paradox.
mlr-org-website	https://github.com/mlr-org/mlr-org-website.git	72052f9ab8c0b1e6fcaf1144f10b77587baed2bb	102917164559b9aba761ac73049d2dcc29cd59b6	2022-02-18T13:24:00+01:00	false	clean	a51b23a73a30ce2c21100ecf8ce0724f349bea2699af9f2450c26a5bf7e10616	org-scan	14	5eb3c0f9d298dfb696c46430b91709edd0a497f6a4bc9d02046ec56e91cd4b43	2	6	7	30	mention-only	exclude-mention-only	packages.Rmd:178	Historical organization website links to paradox but does not exercise its interface.
mlr-org.r-universe.dev	https://github.com/mlr-org/mlr-org.r-universe.dev.git	5c9db22b72fe1978f56387a06a2d753397311933	05141f806e194a3c42fa343c51e00c52f1340ec8	2026-04-11T14:58:01+03:00	false	clean	1cb8ea242e016b8c84ad744fd0b64c2fbcb52c4f736d3b3875d2efac08fee3b3	org-scan	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	0	2	0	infrastructure	exclude-infrastructure	packages.json:93	R-universe package index lists paradox but contains no consumer source.
mlr-outreach	https://github.com/mlr-org/mlr-outreach.git	7f7a6ab1b5f0648542f1ad85e4f6d61c590bfa6f	cd831d467f12069fe8e85e0dfbb213dbcff19e61	2023-09-27T10:21:22+02:00	false	clean	b428082b8eec390aac17196ac00689f57b363b3a0dcb1cb7dc94a240c3afaab3	org-scan	33	328e1f5981fd9d5620eae264f4337dadeda050cb8e2eda02c193f94e1157aa62	35	182	111	371	direct-documentation	characterization-only	2019_embl/day_2/02 The mlr3tuning Package - Demo/mlr_tuning_tutorial.Rmd:73	2019-2020 workshop material loads paradox and documents legacy constructors; useful UI evidence, but seriously old and not a maintained executable gate.
mlr-web	https://github.com/mlr-org/mlr-web.git	a18c046984f00e9529740e84e21b6d773b649fa3	b80f71d22d29a842907cd693c0d89a8c09599989	2022-03-21T09:03:42+01:00	true	clean	ca66d2a8313d5cd1f0773d6d9495ac484e0394c8962f082bcf36e00cfdebc65f	org-scan	47	deb897cabf737516c1fb4dbcd7e463d77b7977feb02a409a16a93cb8a2009af9	2	23	7	50	mention-only	exclude-mention-only	content/post/2019-07-29-mlr3-0-1-0/index.Rmd:123	Archived historical website only links to or discusses paradox.
mlr3	https://github.com/mlr-org/mlr3.git	f70c001d526213d80059744b81fcbc420bb83017	538ff0e41995c163efbe1090754c2158a641b6a8	2026-07-02T11:33:25+02:00	false	clean	6ff7031a62757f80e0ae25996c7425f2618ccaa5f7836b46483f1357007ab836	consumer-corpus	299	16bfe044d266611bf620a49493e3b9afef14837a5f7bab159a6242681cb48563	16	476	44	563	direct-package	retain-gate-p0	DESCRIPTION:67	Core framework gate.
