package	relation	source	priority	notes	version	repository	archive	md5	sha256
miesmuschel	depends	CRAN	0	Explicitly required compatibility target; repair upstream breakage where practical.	0.0.4-3	https://cloud.r-project.org/src/contrib	miesmuschel_0.0.4-3.tar.gz	cded35dfb61f37f4af014f0d235c34c3	aabd8cf56a1b15fca75d8cbebd593db840ae74edd7f9294b7cf27583924d2108
bbotk	depends	CRAN	1	Core mlr-org optimizer infrastructure.	1.12.0	https://cloud.r-project.org/src/contrib	bbotk_1.12.0.tar.gz	1e9361ae77bde990ec0f8c283fc7806e	fad9de070d17ecb0ea69604032a27c225ff0aa8bed5012b7bcbf4836adf2233c
mlr3tuning	depends	CRAN	1	Core mlr-org tuning infrastructure.	1.6.1	https://cloud.r-project.org/src/contrib	mlr3tuning_1.6.1.tar.gz	b5325e27fc085fc8a2633602409d20d3	f94a09833264ddf6b0fe21932fc1d2f4b003489e353c22026a910c8cc1ba4c68
mlr3	imports	CRAN	1	Core mlr3 framework.	1.7.1	https://cloud.r-project.org/src/contrib	mlr3_1.7.1.tar.gz	72495c50989d8a89d4ab530b591add05	d0efe4b8693031efd176c90874985553b0239ae19e40edc61cd1f5a24471da24
mlr3cluster	imports	CRAN	1	Current mlr-org extension.	0.4.1	https://cloud.r-project.org/src/contrib	mlr3cluster_0.4.1.tar.gz	43ab79f36e4caa587927775c3e1586cc	3281bdbdd287e45f879d558f48da32471c1de5223c842167802f0ea084d9b41f
mlr3fairness	imports	CRAN	1	Current mlr-org extension.	0.4.0	https://cloud.r-project.org/src/contrib	mlr3fairness_0.4.0.tar.gz	f1854a9fbcdd5b284d624ad09c9f259d	28fd3b13bdfb5476749454a88cd99cc58620a7a2bd52f4df2bdbe94fe2a6314f
mlr3fda	imports	CRAN	1	Current mlr-org extension.	0.7.1	https://cloud.r-project.org/src/contrib	mlr3fda_0.7.1.tar.gz	6754e96efe133b247c67fd48505f8320	49527d42358cb8ff7c8a4efa92806862d5b7849e44c65a6cc69795e337ea27fc
mlr3filters	imports	CRAN	1	Current mlr-org extension.	0.9.1	https://cloud.r-project.org/src/contrib	mlr3filters_0.9.1.tar.gz	324b4fd5a7c661503040c47c76dfd794	bb22925ab5f05517a864fdf7587eff6cebb0e68cb78b8c4dffd1bfd7efd8ee29
mlr3fselect	imports	CRAN	1	Core mlr-org feature-selection infrastructure.	1.6.0	https://cloud.r-project.org/src/contrib	mlr3fselect_1.6.0.tar.gz	6cd3b1426ece53f089bb78c228a82a12	341a9a6ab2d023d8c6213e97faccbd01d792545ec3086e00d4f7a07f190f87d4
mlr3hyperband	imports	CRAN	1	Current mlr-org tuning extension.	1.1.1	https://cloud.r-project.org/src/contrib	mlr3hyperband_1.1.1.tar.gz	5e7de1194a8951f9b732265f9e4e6ea2	53248a7ecedd8720c36a087c3db766c61820aa3513d1cbf3e20bf5dfbbafd7f3
mlr3inferr	imports	CRAN	1	Current mlr-org extension.	0.2.1	https://cloud.r-project.org/src/contrib	mlr3inferr_0.2.1.tar.gz	fd371ce062007d1f253cc8e120d4fc3d	8e54b0354bf774a03222f1900832b3c29aa2e93429b00f392ddfd87d1374d99c
mlr3learners	imports	CRAN	1	Widely used learner integration package.	0.15.1	https://cloud.r-project.org/src/contrib	mlr3learners_0.15.1.tar.gz	22141664f50b9fbc1042ee441ac1de1f	882f13e8c08e06736f7b5f454a1e1a8b5200d1caaf506a359113bee86ecd5f47
mlr3mbo	imports	CRAN	1	Core mlr-org Bayesian optimization package.	1.2.1	https://cloud.r-project.org/src/contrib	mlr3mbo_1.2.1.tar.gz	0d8affa52206f3519694294622cf483d	20078f18400795d0c07e15361cd5842c989ee82263ae28d1cc6765b54f43dc5f
mlr3oml	imports	CRAN	1	Current mlr-org OpenML integration.	0.12.0	https://cloud.r-project.org/src/contrib	mlr3oml_0.12.0.tar.gz	09a17552a744afd9aee680504d03f81b	13eec07c211b2696400c2a2dcf5ed39b96d169046da8aed5518a338461d43cc0
mlr3pipelines	imports	CRAN	1	Core mlr-org pipelines package with broad ParamSet use.	0.11.0	https://cloud.r-project.org/src/contrib	mlr3pipelines_0.11.0.tar.gz	0a1776f668fb156fd566a0c712649573	2c95392ed996eec3f79b8bd62e687cf793bc98f511a2fe0c21150f2b5602c639
mlr3resampling	imports	CRAN	1	Current mlr-org extension.	2026.5.19	https://cloud.r-project.org/src/contrib	mlr3resampling_2026.5.19.tar.gz	2889115687d4f8c767785e280cd75021	f93db98133e369b901251157febaed7fdb70592c3f586bd1107d99c4500cfa93
mlr3spatiotempcv	imports	CRAN	1	Current mlr-org extension.	2.3.4	https://cloud.r-project.org/src/contrib	mlr3spatiotempcv_2.3.4.tar.gz	6e2fa6d8681b09958ca363d03dd02418	a945843ff13d4bb7a1f6b4cb138f1d27f5528ceaf74d666cc701490e18d5abaa
mlr3torch	imports	CRAN	1	Current mlr-org deep-learning extension.	0.3.3	https://cloud.r-project.org/src/contrib	mlr3torch_0.3.3.tar.gz	d0b47b8873330c51a2b8fa36a420d06b	4598ecffe1209ff487a6560adbc9a771fc8abea03cc645d808272ed3b5cb9cb4
mlr3tuningspaces	imports	CRAN	1	Parameter-space catalog and strong implicit-API consumer.	0.7.0	https://cloud.r-project.org/src/contrib	mlr3tuningspaces_0.7.0.tar.gz	890b05229d38b50f83cb78f41cd15388	cd681d6432bacfdabbee93eda1218d6ee7d82d095a6fc903cfd565c080f2406c
mlr3verse	imports	CRAN	1	Meta-package; installation compatibility matters.	0.3.2	https://cloud.r-project.org/src/contrib	mlr3verse_0.3.2.tar.gz	2b7f3f93ab16225cb7d1a5775a5116d5	00ca7a13b2481602a0a2aa869f9af35aafea6904fccf1f165670399b22018c24
mlrintermbo	imports	CRAN	1	Current mlr-org optimization package.	0.5.1-1	https://cloud.r-project.org/src/contrib	mlrintermbo_0.5.1-1.tar.gz	877e7a69df807e086a046eceefca03bc	1b4e5de1d78d836e9efc102ab675e7c2465cd940640f60e1dba34a03f5b5f041
mlr3forecast	imports	CRAN	1	Current mlr-org forecasting extension.	0.1.0	https://cloud.r-project.org/src/contrib	mlr3forecast_0.1.0.tar.gz	27c59a005d51e94c900dc9d3c33b3927	1e336567875e80d2c95e6321204c7ad7da04cd1600b02692de24b4288dc24877
counterfactuals	imports	CRAN	2	External direct importer.	1.0.0	https://cloud.r-project.org/src/contrib	counterfactuals_1.0.0.tar.gz	eea810716097c2fd0b9baa89f534f630	b98bdcfa63d96c9685c5c2f4b44c93c8a6a970bf52197485bb0dcd2abb1aa028
FoRecoML	imports	CRAN	2	External direct importer.	1.1.1	https://cloud.r-project.org/src/contrib	FoRecoML_1.1.1.tar.gz	7e5a59320eb83e997454c25b599bdb2e	af92c40da2981c6ec25843943bed279ad61c24490a4ef6478a312e60c9a64fee
